gid,entidad,geom,fna,gna,nam,fdc,sag
34998,1,POINT(-63.400594 -31.152575),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Mutual Atletico,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Mutual Atletico,Ministerio del Interior,IGN
34999,1,POINT(-64.387304 -33.9129179999999),Universidad Empresarial Siglo 21 Cooperativa de Electricidad y Anexos Ltda.,Universidad,Empresarial Siglo 21 Cooperativa de Electricidad y Anexos Ltda.,Ministerio del Interior,IGN
35000,1,POINT(-64.50776 -31.4218299999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Carlos Paz,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Carlos Paz,Ministerio del Interior,IGN
35001,1,POINT(-63.532089 -31.545814),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa del Rosario,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa del Rosario,Ministerio del Interior,IGN
35002,1,POINT(-65.188299 -31.943428),Universidad Empresarial Siglo 21 DelegaciÓn Universitaria de Villa Dolores,Universidad,Empresarial Siglo 21 DelegaciÓn Universitaria de Villa Dolores,Ministerio del Interior,IGN
35003,1,POINT(-63.241856 -32.415782),Universidad Empresarial Siglo 21 Escuela Normal Víctor Mercante,Universidad,Empresarial Siglo 21 Escuela Normal Víctor Mercante,Ministerio del Interior,IGN
35004,1,POINT(-59.0335509999999 -28.506222),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Bella Vista Corrientes,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Bella Vista Corrientes,Ministerio del Interior,IGN
35005,1,POINT(-58.838245 -27.462888),Universidad Empresarial Siglo 21 Colegio Informático San de Vera,Universidad,Empresarial Siglo 21 Colegio Informático San de Vera,Ministerio del Interior,IGN
35006,1,POINT(-58.836835 -27.469076),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Corrientes,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Corrientes,Ministerio del Interior,IGN
35007,1,POINT(-58.052067 -29.790241),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Curuzú Cuatiá,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Curuzú Cuatiá,Ministerio del Interior,IGN
